current_ratio,leverage,asset_utilisation,After Tax ROE,price_earnings_ratio,For Year,ticker_symbol
0.944518098911253,-1.0686114936772255,1.0572096980008507,23,-2.410714285714286,2012,AAL
0.9393232464618188,-6.151226656902233,0.6325512086664459,67,-2.2444444444444445,2013,AAL
1.049048636054752,8.767936665017318,0.9866975130133024,143,13.340796268656717,2014,AAL
1.131720430107527,3.6488021295474713,0.8466384385004647,135,3.7181736611062335,2015,AAL
1.1818181818181819,3.2776046304541406,0.6435372285772998,92,20.468992635658914,2013,ABBV
1.0675953591245975,8.597588978185993,0.7254752298913241,102,58.95495675675676,2014,ABBV
1.0803380511149578,8.028136882129278,0.43089538171536285,130,18.806349841269842,2015,ABBV
1.1397529943713716,0.6020515185936385,4.649339291760855,19,32.499998936170215,2013,ABC
1.0999678472097774,1.0197930501267567,5.553042485288184,14,63.36065819672132,2014,ABC
1.022539770580587,6.066369125839977,4.8622068633452615,22,-153.20967419354838,2015,ABC
1.067542670685597,2.104529248559691,4.363228350199964,67,12.00297161961367,2016,ABC
1.6595497852594165,0.7662886868006437,0.28333457276715995,22,8.358210939148936,2012,ABT
2.4155325610167586,0.26065710539907033,0.4576397457686308,10,23.37195243902439,2013,ABT
2.0937452365225346,0.363746167425439,0.4913485572839566,11,30.013333333333335,2014,ABT
2.0586444400079857,0.42435528735090283,0.49470264504085143,21,15.275510204081632,2015,ABT
2.6897838961536427,0.2234852761365456,0.38449200334995115,4,136.44444444444446,2014,ADBE
2.839510961620105,0.22513834953694134,0.3906670116792408,4,97.89655,2013,ADBE
2.4818497438671616,0.2724000868375424,0.4089474651881657,9,73.15079206349206,2015,ADBE
1.8572034977502334,0.3408414367930145,2.052569025415981,7,21.379311330049262,2013,ADM
1.805597734641113,0.28914431673052365,1.845603109302907,11,15.116279069767442,2014,ADM
1.8054581422533944,0.32834236549527906,1.6859327140971687,10,12.267558528428093,2015,ADM
1.1341187625845826,3.9230681277593704,0.26169295395469505,21,32.80389770642201,2014,ADS
1.0984739219471091,5.749002253697706,0.287208760391101,30,31.040404826038156,2015,ADS
1.046068953277174,13.21850679392303,0.30344565175453386,80,17.15165817535545,2012,ADS
1.0690770695651837,8.63815598046651,0.3261083653088278,58,26.058473042616455,2013,ADS
1.9019954087939255,0.36491777603758807,0.5366725466530499,12,35.66972568807339,2013,ADSK
1.9691450610670667,0.33004642936104356,0.4948639825897715,10,50.245098039215684,2014,ADSK
1.4237223004995516,0.9445284159613059,0.2600539811066127,15,-7.660847630922694,2012,AEE
1.4513726031176715,0.9789119804400978,0.2774451097804391,5,30.386554621848738,2013,AEE
1.4309835644581408,1.0306867272456428,0.27156893534927545,9,19.061983884297522,2014,AEE
1.416077632682401,1.0906996832709472,0.2579526226734349,9,16.626923076923074,2015,AEE
1.3893943266036288,1.2399422458489204,0.2748910184486913,8,16.415384615384614,2012,AEP
1.3988445039549704,1.195150761579111,0.2625855284149325,9,15.375000657894736,2013,AEP
1.3936907247380887,1.1860738873497343,0.2750644055044454,10,18.179641017964073,2014,AEP
1.1387991243615136,0.6652271873826512,0.1934794880009764,18,8.651465635179154,2012,AFL
1.1370363774405503,0.7330369357045143,0.19734228033007165,22,9.823529852941178,2013,AFL
1.1809012029185566,0.40742355698479316,0.18976846710696602,16,9.340978593272173,2014,AFL
1.1760448562452777,0.33611926812740006,0.17643876377899506,14,10.187075170068027,2015,AFL
1.2278959939572516,0.4149795958992734,0.12723131404377006,9,8.2873375,2013,AIG
1.261567033617743,0.29202604351812006,0.12491926583795757,7,10.62808311195446,2014,AIG
1.2201357771585009,0.3273550603404046,0.1173716100236848,2,36.66863964497042,2015,AIG
1.1668670267984333,4.820802359559767,0.1497350571283067,14,44.36065409836066,2012,AIV
1.1892537807445918,4.5357933220804645,0.16022155428492849,21,18.50714285714286,2013,AIV
1.2521382467639552,3.3681038660623015,0.16144964399048192,25,18.033981553398057,2014,AIV
1.3587929416650837,2.38731600458829,0.15971338144596345,15,26.335525657894735,2015,AIV
1.196401795690629,0.28937003732841926,0.32892401373200686,9,10.495398773006137,2014,AIZ
1.1942622163471954,0.39661577095917866,0.3044843242343879,10,10.402821786833856,2013,AIZ
1.177323999061634,0.30765056420614917,0.3437660076596391,3,38.72115432692308,2015,AIZ
1.4367539267015708,1.7310956605130665,0.46346476204358283,13,22.5625,2013,AJG
1.4762705365306905,1.5136867529572058,0.4621878121878122,9,23.777778787878788,2014,AJG
1.50030252193284,1.4275348376989254,0.4942394940653499,10,19.777777294685993,2015,AJG
10.203619057334437,0,0.5283137489536177,9,35.573913043478264,2012,AKAM
9.010354786232613,0,0.5334990034435716,11,28.593939393939394,2013,AKAM
3.7885858034048123,0.20535898293402957,0.49077881398839346,11,33.66844866310161,2014,AKAM
3.924780258039243,0.2000360155058929,0.5247104472978862,10,29.238889444444442,2015,AKAM
1.3518613803881212,2.1582983011699457,0.4682174561749979,10,35.57988224852071,2014,ALB
1.511646816930797,1.1836370664627986,0.3797534772180259,10,18.607972757475086,2015,ALB
2.1433597328166925,0.38137476153442573,0.7328893596730681,17,17.79942664756447,2012,ALB
1.831373797150967,0.66295308785205,0.6678955600554229,25,12.85801196754564,2013,ALB
1.34794319294809,0.7262491203377903,0.8459582198001816,22,4.819910514541387,2012,ALK
1.5326857442898398,0.42927550517496305,0.88317917094895515,25,5.053030509641873,2013,ALK
1.540259080518161,0.37752703338034793,0.8852242744063324,28,13.369127069351231,2014,ALK
1.5849102377486657,0.28452924097884696,0.856880453084341,35,12.180030559757942,2015,ALK
