year,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunications Services,Utilities
2012,213.42307692307693,137.1,111.21739130434783,270.6666666666667,209.69565217391303,151.53846153846155,242.61111111111111,224.8235294117647,122.42857142857143,93.0,82.35
2013,209.76,164.15625,128.29032258064515,165.33333333333334,254.6046511627907,171.25806451612902,273.4642857142857,216.1304347826087,135.42857142857142,128.4,87.625
2014,194.1549295774648,143.09677419354838,131.25806451612902,153.83333333333334,234.72093023255815,160.13114754098362,252.33898305084745,194.7826086956522,151.14285714285714,87.2,87.04166666666667
2015,181.52631578947367,147.78125,159.3548387096774,162.66666666666666,222.4047619047619,157.16129032258064,265.60655737704917,182.0,128.28571428571428,171.2,79.54166666666667
2016,171.21428571428572,130.47826086956522,235.0,148.33333333333334,234.8181818181818,164.6216216216216,280.16279069767444,151.125,,,87.0
