Ticker symbol,Security,GICS Sector,Address of Headquarters,City,State,state_abv,lat,lon
FLR,Fluor Corp.,Industrials,"Irving, Texas",Irving,Texas,TX,32.8295183,-96.9442177
FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,PA,39.9527237,-75.1635262
FTI,FMC Technologies Inc.,Energy,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
FL,Foot Locker Inc,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
F,Ford Motor,Consumer Discretionary,"Dearborn, Michigan",Dearborn,Michigan,MI,42.3222599,-83.1763145
FTV,Fortive Corp,Industrials,"Everett, Washington",Everett,Washington,WA,47.9673056,-122.201399
FBHS,Fortune Brands Home & Security,Industrials,"Deerfield, Illinois",Deerfield,Illinois,IL,42.1711365,-87.8445119
BEN,Franklin Resources,Financials,"San Mateo, California",San Mateo,California,CA,37.496904,-122.3330573
FCX,Freeport-McMoran Cp & Gld,Materials,"Phoenix, Arizona",Phoenix,Arizona,AZ,33.4484367,-112.074141
FTR,Frontier Communications,Telecommunications Services,"Stamford, Connecticut",Stamford,Connecticut,CT,41.0534302,-73.5387341
GPS,Gap (The),Consumer Discretionary,"San Francisco, California",San Francisco,California,CA,37.7790262,-122.419906
GD,General Dynamics,Industrials,"Falls Church, Virginia",Falls Church,Virginia,VA,38.882334,-77.1710914
GE,General Electric,Industrials,"Fairfield, Connecticut",Fairfield,Connecticut,CT,41.1412078,-73.2637258
GGP,General Growth Properties Inc.,Real Estate,"Chicago, Illinois",Chicago,Illinois,IL,41.8755616,-87.6244212
GIS,General Mills,Consumer Staples,"Golden Valley, Minnesota",Golden Valley,Minnesota,MN,44.9861176,-93.3784618
GM,General Motors,Consumer Discretionary,"Detroit, Michigan",Detroit,Michigan,MI,42.3315509,-83.0466403
GPC,Genuine Parts,Consumer Discretionary,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
GILD,Gilead Sciences,Health Care,"Foster City, California",Foster City,California,CA,37.5600336,-122.2688522
GPN,Global Payments Inc,Information Technology,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
GS,Goldman Sachs Group,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
GT,Goodyear Tire & Rubber,Consumer Discretionary,"Akron, Ohio",Akron,Ohio,OH,41.083064,-81.518485
GWW,Grainger (W.W.) Inc.,Industrials,"Lake Forest, Illinois",Lake Forest,Illinois,IL,42.2586342,-87.840625
HAL,Halliburton Co.,Energy,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
HBI,Hanesbrands Inc,Consumer Discretionary,"Winston-Salem, North Carolina",Winston-Salem,North Carolina,NC,36.0998131,-80.2440518
HOG,Harley-Davidson,Consumer Discretionary,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,WI,43.0349931,-87.922497
HAR,Harman Int'l Industries,Consumer Discretionary,"Stamford, Connecticut",Stamford,Connecticut,CT,41.0534302,-73.5387341
HRS,Harris Corporation,Information Technology,"Melbourne, Florida",Melbourne,Florida,FL,28.106471,-80.6371513
HIG,Hartford Financial Svc.Gp.,Financials,"Hartford, Connecticut",Hartford,Connecticut,CT,41.764582,-72.6908547
HAS,Hasbro Inc.,Consumer Discretionary,"Pawtucket, Rhode Island",Pawtucket,Rhode Island,RI,41.878711,-71.3825558
HCA,HCA Holdings,Health Care,"Nashville, Tennessee",Nashville,Tennessee,TN,36.1622767,-86.7742984
HCP,HCP Inc.,Real Estate,"Long Beach, California",Long Beach,California,CA,33.7690164,-118.191604
HP,Helmerich & Payne,Energy,"Tulsa, Oklahoma[5]",Tulsa,Oklahoma,OK,36.1556805,-95.9929113
HSIC,Henry Schein,Health Care,"Melville, New York",Melville,New York,NY,40.7834763,-73.4075574
HES,Hess Corporation,Energy,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
HPE,Hewlett Packard Enterprise,Information Technology,"Palo Alto, California",Palo Alto,California,CA,37.4443293,-122.1598465
HOLX,Hologic,Health Care,"Marlborough, Massachusetts",Marlborough,Massachusetts,MA,42.3459271,-71.5522874
HD,Home Depot,Consumer Discretionary,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
HON,Honeywell Int'l Inc.,Industrials,"Morristown, New Jersey",Morristown,New Jersey,NJ,40.7970382,-74.4809868
HRL,Hormel Foods Corp.,Consumer Staples,"Austin, Minnesota",Austin,Minnesota,MN,43.6680928,-92.9744896
HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland",Bethesda,Maryland,MD,38.9843774,-77.0941675
HPQ,HP Inc.,Information Technology,"Palo Alto, California",Palo Alto,California,CA,37.4443293,-122.1598465
HUM,Humana Inc.,Health Care,"Louisville, Kentucky",Louisville,Kentucky,KY,38.2542376,-85.759407
HBAN,Huntington Bancshares,Financials,"Columbus, Ohio",Columbus,Ohio,OH,39.9622601,-83.0007065
IDXX,IDEXX Laboratories,Health Care,"Westbrook, Maine",Westbrook,Maine,ME,43.6763036,-70.3663874
ITW,Illinois Tool Works,Industrials,"Glenview, Illinois",Glenview,Illinois,IL,42.0863023,-87.8260949
ILMN,Illumina Inc,Health Care,"San Diego, California",San Diego,California,CA,32.7174202,-117.1627728
INTC,Intel Corp.,Information Technology,"Santa Clara, California",Santa Clara,California,CA,37.2333253,-121.6846349
ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
IBM,International Business Machines,Information Technology,"Armonk, New York",Armonk,New York,NY,41.1330485,-73.7126237
IP,International Paper,Materials,"Memphis, Tennessee",Memphis,Tennessee,TN,35.1335022,-89.9668758
IPG,Interpublic Group,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
IFF,Intl Flavors & Fragrances,Materials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
INTU,Intuit Inc.,Information Technology,"Mountain View, California",Mountain View,California,CA,37.3893889,-122.0832101
ISRG,Intuitive Surgical Inc.,Health Care,"Sunnyvale, California",Sunnyvale,California,CA,37.3688301,-122.036349
IVZ,Invesco Ltd.,Financials,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
IRM,Iron Mountain Incorporated,Real Estate,"Boston, Massachusetts",Boston,Massachusetts,MA,42.3602534,-71.0582912
JBHT,J. B. Hunt Transport Services,Industrials,"Lowell, Arkansas",Lowell,Arkansas,AR,36.2553543,-94.1307587
JEC,Jacobs Engineering Group,Industrials,"Pasadena, California",Pasadena,California,CA,34.1476452,-118.1444779
SJM,JM Smucker,Consumer Staples,"Orrville, Ohio",Orrville,Ohio,OH,40.8436664,-81.7640212
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",New Brunswick,New Jersey,NJ,40.4862174,-74.4518173
JPM,JPMorgan Chase & Co.,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",Sunnyvale,California,CA,37.3688301,-122.036349
KSU,Kansas City Southern,Industrials,"Kansas City, Missouri",Kansas City,Missouri,MO,39.100105,-94.5781416
K,Kellogg Co.,Consumer Staples,"Battle Creek, Michigan",Battle Creek,Michigan,MI,42.3192548,-85.1824269
KEY,KeyCorp,Financials,"Cleveland, Ohio",Cleveland,Ohio,OH,41.4996562,-81.6936813
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas",Irving,Texas,TX,32.8295183,-96.9442177
KIM,Kimco Realty,Real Estate,"New Hyde Park, New York",New Hyde Park,New York,NY,40.7330569,-73.685532
KMI,Kinder Morgan,Energy,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
KLAC,KLA-Tencor Corp.,Information Technology,"Milpitas, California",Milpitas,California,CA,37.4282771,-121.9069256
KSS,Kohl's Corp.,Consumer Discretionary,"Menomonee Falls, Wisconsin",Menomonee Falls,Wisconsin,WI,43.1790768,-88.1170784
