Ticker symbol,Security,GICS Sector,Address of Headquarters,City,State,state_abv,lat,lon
RSG,Republic Services Inc,Industrials,"Phoenix, Arizona",Phoenix,Arizona,AZ,33.4484367,-112.074141
RAI,Reynolds American Inc.,Consumer Staples,"Winston-Salem, North Carolina",Winston-Salem,North Carolina,NC,36.0998131,-80.2440518
RHI,Robert Half International,Industrials,"Menlo Park, California",Menlo Park,California,CA,37.4519671,-122.1779927
ROK,Rockwell Automation Inc.,Industrials,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,WI,43.0349931,-87.922497
COL,Rockwell Collins,Industrials,"Cedar Rapids, Iowa",Cedar Rapids,Iowa,IA,41.9758872,-91.6704053
ROP,Roper Industries,Industrials,"Sarasota, Florida",Sarasota,Florida,FL,27.3365805,-82.5308545
ROST,Ross Stores,Consumer Discretionary,"Pleasanton, California",Pleasanton,California,CA,37.6624312,-121.8746789
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Miami, Florida",Miami,Florida,FL,25.7741728,-80.19362
R,Ryder System,Industrials,"Miami, Florida",Miami,Florida,FL,25.7741728,-80.19362
SPGI,"S&P Global, Inc.",Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
CRM,Salesforce.com,Information Technology,"San Francisco, California",San Francisco,California,CA,37.7790262,-122.419906
SCG,SCANA Corp,Utilities,"Cayce, South Carolina",Cayce,South Carolina,SC,33.9657091,-81.0739827
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,"Cincinnati, Ohio",Cincinnati,Ohio,OH,39.1014537,-84.5124602
SEE,Sealed Air,Materials,"Elmwood Park, New Jersey",Elmwood Park,New Jersey,NJ,40.9074237,-74.1183543
SRE,Sempra Energy,Utilities,"San Diego, California",San Diego,California,CA,32.7174202,-117.1627728
SHW,Sherwin-Williams,Materials,"Cleveland, Ohio",Cleveland,Ohio,OH,41.4996562,-81.6936813
SPG,Simon Property Group Inc,Real Estate,"Indianapolis, Indiana",Indianapolis,Indiana,IN,39.7683331,-86.1583502
SWKS,Skyworks Solutions,Information Technology,"Woburn, Massachusetts",Woburn,Massachusetts,MA,42.4792618,-71.1522766
SLG,SL Green Realty,Real Estate,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
SNA,Snap-On Inc.,Consumer Discretionary,"Kenosha, Wisconsin",Kenosha,Wisconsin,WI,42.5846773,-87.8212263
SO,Southern Co.,Utilities,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
LUV,Southwest Airlines,Industrials,"Dallas, Texas",Dallas,Texas,TX,32.7762719,-96.7968559
SWN,Southwestern Energy,Energy,"Houston, Texas[6]",Houston,Texas,TX,29.7589382,-95.3676974
SE,Spectra Energy Corp.,Energy,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
SWK,Stanley Black & Decker,Consumer Discretionary,"New Britain, Connecticut",New Britain,Connecticut,CT,41.6612104,-72.7795419
SPLS,Staples Inc.,Consumer Discretionary,"Framingham, Massachusetts",Framingham,Massachusetts,MA,42.3095704,-71.4413097
SBUX,Starbucks Corp.,Consumer Discretionary,"Seattle, Washington",Seattle,Washington,WA,47.6038321,-122.330062
STT,State Street Corp.,Financials,"Boston, Massachusetts",Boston,Massachusetts,MA,42.3602534,-71.0582912
SRCL,Stericycle Inc,Industrials,"Lake Forest, Illinois",Lake Forest,Illinois,IL,42.2586342,-87.840625
SYK,Stryker Corp.,Health Care,"Kalamazoo, Michigan",Kalamazoo,Michigan,MI,42.291707,-85.5872286
STI,SunTrust Banks,Financials,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
SYMC,Symantec Corp.,Information Technology,"Mountain View, California",Mountain View,California,CA,37.3893889,-122.0832101
SYF,Synchrony Financial,Financials,"Stamford, Connecticut",Stamford,Connecticut,CT,41.0534302,-73.5387341
SYY,Sysco Corp.,Consumer Staples,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
TROW,T. Rowe Price Group,Financials,"Baltimore, Maryland",Baltimore,Maryland,MD,39.2908816,-76.610759
TGT,Target Corp.,Consumer Discretionary,"Minneapolis, Minnesota",Minneapolis,Minnesota,MN,44.9772995,-93.2654692
TGNA,"Tegna, Inc.",Consumer Discretionary,"McLean, Virginia",McLean,Virginia,VA,38.9245311,-77.2101036
TDC,Teradata Corp.,Information Technology,"Miamisburg, Ohio",Miamisburg,Ohio,OH,39.6428362,-84.2866083
TSO,Tesoro Petroleum Co.,Energy,"San Antonio, Texas",San Antonio,Texas,TX,29.4246002,-98.4951405
TXN,Texas Instruments,Information Technology,"Dallas, Texas",Dallas,Texas,TX,32.7762719,-96.7968559
TXT,Textron Inc.,Industrials,"Providence, Rhode Island",Providence,Rhode Island,RI,41.8239891,-71.4128343
BK,The Bank of New York Mellon Corp.,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
CLX,The Clorox Company,Consumer Staples,"Oakland, California",Oakland,California,CA,37.8044557,-122.2713563
COO,The Cooper Companies,Health Care,"Pleasanton, California",Pleasanton,California,CA,37.6624312,-121.8746789
HSY,The Hershey Company,Consumer Staples,"Hershey, Pennsylvania",Hershey,Pennsylvania,PA,40.2854881,-76.6506001
MOS,The Mosaic Company,Materials,"Plymouth, Minnesota",Plymouth,Minnesota,MN,45.0065149,-93.46651
TRV,The Travelers Companies Inc.,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
DIS,The Walt Disney Company,Consumer Discretionary,"Burbank, California",Burbank,California,CA,34.1816482,-118.3258554
TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts",Waltham,Massachusetts,MA,42.3756401,-71.2358004
TIF,Tiffany & Co.,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
TWX,Time Warner Inc.,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
TJX,TJX Companies Inc.,Consumer Discretionary,"Framingham, Massachusetts",Framingham,Massachusetts,MA,42.3095704,-71.4413097
TMK,Torchmark Corp.,Financials,"McKinney, Texas",McKinney,Texas,TX,33.1976496,-96.6154471
TSS,Total System Services,Information Technology,"Columbus, Georgia",Columbus,Georgia,GA,32.4610708,-84.9880449
TSCO,Tractor Supply Company,Consumer Discretionary,"Brentwood, Tennessee",Brentwood,Tennessee,TN,36.0325687,-86.7825235
TDG,TransDigm Group,Industrials,"Cleveland, Ohio",Cleveland,Ohio,OH,41.4996562,-81.6936813
TRIP,TripAdvisor,Consumer Discretionary,"Newton, Massachusetts",Newton,Massachusetts,MA,42.3370414,-71.2092214
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
TSN,Tyson Foods,Consumer Staples,"Springdale, Arkansas",Springdale,Arkansas,AR,36.1867442,-94.1288142
USB,U.S. Bancorp,Financials,"Minneapolis, Minnesota",Minneapolis,Minnesota,MN,44.9772995,-93.2654692
UDR,UDR Inc,Real Estate,"Highlands Ranch, Colorado",Highlands Ranch,Colorado,CO,39.5497243,-104.9695655
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,"Bolingbrook, Illinois",Bolingbrook,Illinois,IL,41.7003302,-88.0717708
UA,Under Armour,Consumer Discretionary,"Baltimore, Maryland",Baltimore,Maryland,MD,39.2908816,-76.610759
UAA,Under Armour,Consumer Discretionary,"Baltimore, Maryland",Baltimore,Maryland,MD,39.2908816,-76.610759
UNP,Union Pacific,Industrials,"Omaha, Nebraska",Omaha,Nebraska,NE,41.2587459,-95.9383758
UAL,United Continental Holdings,Industrials,"Chicago, Illinois",Chicago,Illinois,IL,41.8755616,-87.6244212
UNH,United Health Group Inc.,Health Care,"Minnetonka, Minnesota",Minnetonka,Minnesota,MN,44.9405086,-93.4638936
UPS,United Parcel Service,Industrials,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
URI,"United Rentals, Inc.",Industrials,"Stamford, Connecticut",Stamford,Connecticut,CT,41.0534302,-73.5387341
UTX,United Technologies,Industrials,"Hartford, Connecticut",Hartford,Connecticut,CT,41.764582,-72.6908547
UHS,"Universal Health Services, Inc.",Health Care,"King of Prussia, Pennsylvania",King of Prussia,Pennsylvania,PA,40.705896,-78.003616
UNM,Unum Group,Financials,"Chattanooga, Tennessee",Chattanooga,Tennessee,TN,35.0457219,-85.3094883
URBN,Urban Outfitters,Consumer Discretionary,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,PA,39.9527237,-75.1635262
VFC,V.F. Corp.,Consumer Discretionary,"Greensboro, North Carolina",Greensboro,North Carolina,NC,36.0726355,-79.7919754
VLO,Valero Energy,Energy,"San Antonio, Texas",San Antonio,Texas,TX,29.4246002,-98.4951405
VAR,Varian Medical Systems,Health Care,"Palo Alto, California",Palo Alto,California,CA,37.4443293,-122.1598465
VTR,Ventas Inc,Real Estate,"Chicago, Illinois",Chicago,Illinois,IL,41.8755616,-87.6244212
VRSN,Verisign Inc.,Information Technology,"Dulles, Virginia",Dulles,Virginia,VA,38.9522663,-77.4534849
VRSK,Verisk Analytics,Industrials,"Jersey City, New Jersey",Jersey City,New Jersey,NJ,40.7215682,-74.047455
VZ,Verizon Communications,Telecommunications Services,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
VRTX,Vertex Pharmaceuticals Inc,Health Care,"Cambridge, Massachusetts",Cambridge,Massachusetts,MA,42.3750997,-71.1056157
VIAB,Viacom Inc.,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
V,Visa Inc.,Information Technology,"San Francisco, California",San Francisco,California,CA,37.7790262,-122.419906
VNO,Vornado Realty Trust,Real Estate,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
VMC,Vulcan Materials,Materials,"Birmingham, Alabama",Birmingham,Alabama,AL,33.5206824,-86.8024326
WMT,Wal-Mart Stores,Consumer Staples,"Bentonville, Arkansas",Bentonville,Arkansas,AR,36.3728538,-94.2088172
WBA,Walgreens Boots Alliance,Consumer Staples,"Deerfield, Illinois",Deerfield,Illinois,IL,42.1711365,-87.8445119
WM,Waste Management Inc.,Industrials,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
WAT,Waters Corporation,Health Care,"Milford, Massachusetts",Milford,Massachusetts,MA,42.1413353,-71.5192019
WEC,Wec Energy Group Inc,Utilities,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,WI,43.0349931,-87.922497
WFC,Wells Fargo,Financials,"San Francisco, California",San Francisco,California,CA,37.7790262,-122.419906
HCN,Welltower Inc.,Real Estate,"Toledo, Ohio",Toledo,Ohio,OH,41.6529143,-83.5378173
WDC,Western Digital,Information Technology,"Irvine, California",Irvine,California,CA,33.6856969,-117.8259819
WU,Western Union Co,Information Technology,"Englewood, Colorado",Englewood,Colorado,CO,39.6482059,-104.9879641
WRK,WestRock Company,Materials,"Richmond, Virginia",Richmond,Virginia,VA,37.5385087,-77.43428
WY,Weyerhaeuser Corp.,Real Estate,"Federal Way, Washington",Federal Way,Washington,WA,47.313494,-122.3393103
WHR,Whirlpool Corp.,Consumer Discretionary,"Benton Harbor, Michigan",Benton Harbor,Michigan,MI,42.1167065,-86.4541894
WFM,Whole Foods Market,Consumer Staples,"Austin, Texas",Austin,Texas,TX,30.2711286,-97.7436995
WMB,Williams Cos.,Energy,"Tulsa, Oklahoma",Tulsa,Oklahoma,OK,36.1556805,-95.9929113
WYN,Wyndham Worldwide,Consumer Discretionary,"Parsippany, New Jersey",Parsippany,New Jersey,NJ,40.8578772,-74.4259866
WYNN,Wynn Resorts Ltd,Consumer Discretionary,"Las Vegas, Nevada",Las Vegas,Nevada,NV,36.1672559,-115.148516
XEL,Xcel Energy Inc,Utilities,"Minneapolis, Minnesota",Minneapolis,Minnesota,MN,44.9772995,-93.2654692
XRX,Xerox Corp.,Information Technology,"Norwalk, Connecticut",Norwalk,Connecticut,CT,41.1175966,-73.4078968
XLNX,Xilinx Inc,Information Technology,"San Jose, California",San Jose,California,CA,37.3361663,-121.890591
XYL,Xylem Inc.,Industrials,"White Plains, New York",White Plains,New York,NY,41.0339862,-73.7629097
YHOO,Yahoo Inc.,Information Technology,"Sunnyvale, California",Sunnyvale,California,CA,37.3688301,-122.036349
YUM,Yum! Brands Inc,Consumer Discretionary,"Louisville, Kentucky",Louisville,Kentucky,KY,38.2542376,-85.759407
ZBH,Zimmer Biomet Holdings,Health Care,"Warsaw, Indiana",Warsaw,Indiana,IN,41.2381017,-85.8530544
ZION,Zions Bancorp,Financials,"Salt Lake City, Utah",Salt Lake City,Utah,UT,40.7596198,-111.8867975
ZTS,Zoetis,Health Care,"Florham Park, New Jersey",Florham Park,New Jersey,NJ,40.7881643,-74.3891647
